japanese,pronounce,english
晴れる,はれる,"① to clear up, to clear away, to be sunny, to stop raining ② to refresh (e.g. spirits) ③ to be cleared (e.g. of a suspicion) ④ to be dispelled, to be banished"
雪,ゆき,snow
全部,ぜんぶ,"all, entire, whole, altogether"
速い,はやい,"① fast, quick, hasty, brisk ② early (in the day, etc.), premature ③ (too) soon, not yet, (too) early ④ easy, simple, quick"
地下鉄,ちかてつ,"underground train, subway"
飛ぶ,とぶ,"to fly, to soar"
庭,にわ,garden
豚肉,ぶたにく,pork
番号,ばんごう,"number, series of digits"
美味しい,おいしい,"① delicious, tasty ② nice (move in sport, trick, etc., nuance of being easy or a bit lucky), sweet"
鼻,はな,nose
部屋,へや,① room ② sumo stable
文章,ぶんしょう,"① sentence, article, composition ② (writing) style"
返す,かえす,"① to return (something), to restore, to put back ② to pay back, to retaliate, to reciprocate"
方,かた,"① direction, way ② person, lady, gentleman ③ method of, manner of, way of ④ care of .. ⑤ person in charge of .. ⑥ side (e.g. ""on my mother's side"")"
本当,ほんとう,"truth, reality"
無い,ない,"① nonexistent, not being (there) ② unpossessed, unowned, not had ③ unique ④ indicates negation, inexperience, unnecessariness or impossibility ⑤ (after the ren'youkei form of an adjective) not ... ⑥ (after the -te form of a verb) to not be..., to have not ..."
無くす,なくす,"① to lose something ② to get rid of ③ to lose someone (wife, child, etc.)"
鳴く,なく,"① to sing (bird) ② to bark, to purr, to make sound (animal)"
面白い,おもしろい,"interesting, amusing"
遊ぶ,あそぶ,"① to play, to enjoy oneself, to have a good time ② to mess about (with alcohol, gambling, philandery, etc.) ③ to be idle, to do nothing, to be unused ④ to go to (for pleasure or for study) ⑤ (in baseball) to intentionally throw a ball to lower the batter's concentration"
葉書,はがき,"① postcard ② memo, note, card"
留学生,りゅうがくせい,"overseas student, exchange student"
緑,みどり,① green ② greenery (esp. fresh verdure)
練習,れんしゅう,"practice, practise"
一昨日,おととい,day before yesterday
一昨年,いっさくねん,year before last
黄色,きいろ,"yellow, amber"
昨日,きのう,yesterday
真っ直ぐ,まっすぐ,"① straight (ahead), direct, upright, erect ② straightforward, honest, frank"
側,がわ,"① side (of something, or taking someone's side), part ② (watch) case"
弟,おとうと,younger brother
両親,りょうしん,"parents, both parents"
丸い,まるい,"① round, circular, spherical ② harmonious, calm"
本当に,ほんとうに,"really, truly"
番,ばん,"① number (in a series) ② (one's) turn ③ watch, guard, lookout ④ bout, match (sumo)"
お腹,おなか,stomach
違う,ちがう,"① to differ (from), to vary ② to not be in the usual condition ③ to not match the correct (answer, etc.) ④ to be different from promised"
